epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,9296.14,1.99768,1.94958,2.49155,0.51015,0.24479,0.22388,0.09667,4.20742,6.13321,4.5368,0.0010166,0.0010166,0.0010166
151,9357.9,1.84096,1.82487,2.3453,0.57515,0.23973,0.21719,0.09476,4.23324,6.13713,4.48796,0.00101,0.00101,0.00101
152,9419.04,1.95282,1.96448,2.48641,0.60946,0.25521,0.24886,0.10606,4.27164,5.99633,4.51831,0.0010034,0.0010034,0.0010034
153,9480.77,1.78414,1.72575,2.34988,0.46671,0.28717,0.24062,0.10187,4.2636,5.91796,4.57165,0.0009968,0.0009968,0.0009968
154,9542.67,1.78598,1.81318,2.27401,0.41443,0.29167,0.22306,0.10079,4.31157,5.95966,4.66137,0.0009902,0.0009902,0.0009902
155,9604.39,1.78116,1.70127,2.34005,0.43076,0.28125,0.24216,0.10124,4.36486,6.08606,4.74232,0.0009836,0.0009836,0.0009836
156,9666.42,1.78908,1.7764,2.33976,0.46729,0.27604,0.23299,0.10272,4.40572,6.45873,4.74004,0.000977,0.000977,0.000977
157,9728.3,1.78807,1.81756,2.34766,0.46921,0.27604,0.24123,0.10512,4.38338,6.44837,4.72408,0.0009704,0.0009704,0.0009704
158,9789.48,1.87287,1.76557,2.35541,0.46027,0.28125,0.23021,0.10599,4.44812,6.39671,4.76703,0.0009638,0.0009638,0.0009638
159,9851.13,1.68137,1.67299,2.25493,0.49759,0.27604,0.22126,0.09873,4.57119,6.27785,4.90273,0.0009572,0.0009572,0.0009572
160,9913.12,1.79556,1.71529,2.30559,0.42947,0.25521,0.20816,0.09094,4.6048,6.2301,4.87638,0.0009506,0.0009506,0.0009506
161,9974.73,1.78756,1.70625,2.38271,0.40167,0.25521,0.20911,0.09732,4.60063,6.20305,4.85364,0.000944,0.000944,0.000944
162,10036.4,1.84992,1.84902,2.35682,0.527,0.26042,0.23913,0.10379,4.59561,6.3172,4.79408,0.0009374,0.0009374,0.0009374
163,10098.1,1.8684,1.72654,2.33803,0.47912,0.26042,0.23263,0.10464,4.55607,6.27005,4.85752,0.0009308,0.0009308,0.0009308
164,10159,1.67199,1.51105,2.26976,0.50214,0.25,0.22855,0.09243,4.42908,6.34816,4.78933,0.0009242,0.0009242,0.0009242
165,10220.6,1.77663,1.70289,2.35525,0.49828,0.26042,0.23152,0.09636,4.39616,6.45636,4.80307,0.0009176,0.0009176,0.0009176
166,10282.5,1.75647,1.61739,2.34729,0.42793,0.26562,0.2294,0.09585,4.39541,6.63251,4.81619,0.000911,0.000911,0.000911
167,10344.4,1.69307,1.63612,2.25332,0.55287,0.25,0.23002,0.09993,4.38926,6.73066,4.77552,0.0009044,0.0009044,0.0009044
168,10405.9,1.78911,1.68107,2.32473,0.49935,0.27083,0.23365,0.1036,4.43801,6.67806,4.7943,0.0008978,0.0008978,0.0008978
169,10467.8,1.83701,1.76267,2.35461,0.47745,0.27083,0.23019,0.10737,4.42807,6.74982,4.79398,0.0008912,0.0008912,0.0008912
170,10530.4,1.84395,1.76528,2.36072,0.49689,0.26562,0.23746,0.10817,4.58117,6.6274,4.89497,0.0008846,0.0008846,0.0008846
171,10592.3,1.77268,1.58633,2.32906,0.44961,0.2723,0.22051,0.10034,4.63734,6.67325,4.92677,0.000878,0.000878,0.000878
172,10653.8,1.78166,1.71674,2.30414,0.46879,0.29167,0.23251,0.09604,4.53663,6.62207,4.85043,0.0008714,0.0008714,0.0008714
173,10715.9,1.75228,1.71207,2.29514,0.43895,0.30729,0.23295,0.09501,4.52269,6.58024,4.85794,0.0008648,0.0008648,0.0008648
174,10777.9,1.73458,1.5998,2.25369,0.48804,0.25521,0.22231,0.09392,4.38733,6.68575,4.79442,0.0008582,0.0008582,0.0008582
175,10839.9,1.71888,1.53302,2.25085,0.45794,0.26562,0.23002,0.09938,4.43536,6.49958,4.78014,0.0008516,0.0008516,0.0008516
176,10901.4,1.71343,1.71094,2.34182,0.4008,0.27083,0.22352,0.10593,4.43225,6.51587,4.78397,0.000845,0.000845,0.000845
177,10963.1,1.76254,1.7208,2.27891,0.50421,0.22917,0.2264,0.10764,4.46848,6.42517,4.75668,0.0008384,0.0008384,0.0008384
178,11024.4,1.74415,1.58516,2.28641,0.47556,0.26042,0.23323,0.09881,4.53733,6.34259,4.83675,0.0008318,0.0008318,0.0008318
179,11085.7,1.72297,1.62898,2.28111,0.42679,0.26562,0.22954,0.09623,4.48021,6.27253,4.92514,0.0008252,0.0008252,0.0008252
